nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
1001 ENTERTAINMENT CLUB,Jl. Kunir No. 7,Stanilaus Raymer Jacob,PT. Perkasa Tunggal Mandiri,021 6907575,021 6912546,H Bintang 2,30-09-15
NOVOTEL GAJAH MADA,Jl. Gajah Mada No. 188,Charles Honoris,PT. Mitra Mutiara Makmur,021 108,021 108,H Bintang 2,04-10-15
BINTANG GRIYAWISATA,Jl. Raden Saleh No. 16 RT. 01/010,Hartono Tosin,PT. Bintang Wisata Mandiri,021 3922562,021 3922577,H Bintang 2,10-10-15
T-HOTEL,Jl. Ciputat Raya No. 11 RT.009/008,Teguh Susanto,PT. Teguh Prima,021 29500988,021 29500989,H Bintang 2,16-10-15
SURYA,Jl. Batu Ceper 44-46,Tuty Suryani Budiman,CV. Hotel Surya,021 3808442,021 3861878,H Bintang 2,18-10-15
KAISAR,Jl. PLN. Duren Tiga No. 1,Ir. Jang Achir Judi,PT. Doa Restu Sejahtera,021 79183601,021 79183602,H Bintang 2,28-10-15
GRAND MERCURE,Jl. Hayam Wuruk No. 36-37,"Baharja Halim,MBA",PT. Halim Bangun Sarana Indah,021 3453777,021 3453777,H Bintang 2,28-10-15
HOTEL FAVE,Jl. Gading Indah Raya No. 8 Blok C/32,Irawan Ambiadi Suwandi,PT. Miagata Anugrah Abadi,021 108,021 108,H Bintang 2,31-10-15
ROYAL KUNINGAN HOTEL,Jl. Kuningan Persada Kav. 2,"Jan Semesta, MBA",PT. Berlian Semesta Prima,021 108,021 108,H Bintang 2,04-11-15
REDTOP,Jl. Pecenongan No. 72,Winda Trihanny,PT. Sanggraha Dhika,021 3500077,021 3500055,H Bintang 2,04-11-15
HOTEL 88,Jl. Dr. Susilo Raya C-1 Perum ,FX. Tommy Setiawan,PT. Hotel Internasio  CV. Citra Indonesia,021 6122600,021 108,H Bintang 2,07-11-15
POP ! HOTEL KELAPA GADING,Jl. Kelapa Gading Boulevard / Jl. Raya Mandiri Uta  ,Johanes Mardjuki,PT. Summarecon Hotelindo,021 3465201,021 108,H Bintang 2,07-11-15
BOROBUDUR JAKARTA,Jl. Lapangan Banteng Selatan No. 1,Yusuf Indradewa SH,PT. Jakarta International Hotels & Devel,021 3805555,021 3809595,H Bintang 2,12-11-15
GRAND KEMANG HOTEL,Jl. Kemang Raya No. 2H RT. 014/01,"Rosan Perkasa MBA., MA ",PT. Kemang Jaya Raya,021 7194121,021 7194131,H Bintang 2,14-11-15
KAWANUA AEROTEL,Jl. Cempaka Putih Timur XXIV No. 10,Alex M. T. Maneklaran,PT. Aero Wisata,021 4248768,021 4242397,H Bintang 2,14-11-15
FAIRMONT JAKARTA,Jl. Asia Afrika No. 8,Shuichi Oishi,PT. Senayan Trikarya Sempana,021 5723456,021 57900111,H Bintang 2,17-11-15
MENTENG I,Jl. Rp. Soeroso No. 28,Sujana,PT. Menteng Sarana Wisata,021 325543,021 3144151,H Bintang 2,19-11-15
FAVE HOTEL PGC,Jl. Mayjen Sutoyo No. 76 / Jl. Dewi Sartika RT. 001,IR. Wahyu Dewanto,PT. Wahana Cipta Sentosa,021 80884545,021 80876600,H Bintang 2,19-11-15
HOTEL AMOS COZY,Jl. Melawai Raya No. 84-85,Dra. Khoe Ribka,PT. Indosemar Muliakarya,021 72801367,021 72801367,H Bintang 2,20-11-15
MEGAH INTERNASIONAL,Jl. Bungur Besar Raya No. 31,Ong Mie Kia,CV. Hotel Megah Internasional,021 4259781,021 4259780,H Bintang 2,21-11-15
MANDARIN ORIENTAL JAKARTA,Jl. MH. Thamrin RT. 001/02,Maximilian Von Reden,PT. Jaya Mandarin Agung,021 39838888,021 5263922,H Bintang 2,26-11-15
BEST WESTERN HOTEL & RESIDENCE,Jl. Mangga Dua Abdad 111,Iwanto Hartojo,PT. Mandiri Karya Cipta Indah,021 57932003,021 57931969,H Bintang 2,26-11-15
SRIWIJAYA HOTEL,Jl. Veteran No. 1,Haykel Aldjufrie,PT. Graha Sriwijaya Hotel,021 3440409,021 3446543,H Bintang 2,26-11-15
GRAND WHIZ,Jl. Bukit Gading Raya Kav. I,Intan Nurcahya,PT. Madya Lingkar Artha,021 7397028,021 7250503,H Bintang 2,26-11-15
SUN CITY,Jl. Hayam Wuruk No. 127,Andy Waspy,PT. Prima Cipta Sentosa,021 62201900,021 62201697,H Bintang 2,26-11-15
HOTEL PURI JAYA,Jl. Percetakan Negara V/5,Bambang Siswanto,PT. Sulaiman Maharaja Diraja,021 4215320,021 4215322,H Bintang 2,26-11-15
HOLIDAY INN EXPRESS JIEXPO,Jl. Kawasan PRJ Kemayoran,Karuna Murdaya,PT. Hotel Jiexpo,021 26645000,021 26645352,H Bintang 2,27-11-15
